Issue Type,Summary,Epic Name,Epic Link,Priority,Labels,Description
Epic,Engineering Foundation,Engineering Foundation,,Highest,plata;M0;devops;architecture,"Project can be built, tested and debugged. ROADMAP.md Phase 0."
Epic,Authentication and Customer Account,Authentication and Customer Account,,Highest,plata;M1;development;security,"Registration, login, JWT, refresh tokens, profile. PRD sections 3 and 4. BR-001, BR-002, BR-017."
Epic,Money,Money,,Highest,plata;M1;development;architecture,"Shared money representation used by every financial feature. BR-004a."
Epic,Wallets,Wallets,,Highest,plata;M1;development,"Wallet creation and viewing. PRD 5.1 and 5.2. BR-003, BR-004, BR-004a."
Epic,Ledger,Ledger,,Highest,plata;M1;development;architecture,"Double-entry ledger. The financial source of truth. PRD 10. BR-010, BR-011, BR-018."
Epic,Deposits,Deposits,,High,plata;M1;development,"Simulated deposits. PRD 6. BR-007."
Epic,Transfers,Transfers,,Highest,plata;M1;development,"Money movement between wallets. PRD 8. BR-009, BR-010."
Epic,Transaction History,Transaction History,,High,plata;M1;development,"Customer-facing history of every operation. PRD 9. BR-012."
Epic,Withdrawals,Withdrawals,,High,plata;M1;development,"Simulated withdrawals. PRD 7. BR-008."
Epic,Wallet Lifecycle,Wallet Lifecycle,,Medium,plata;M2;development,"Rename, close, freeze and unfreeze. PRD 5.3 to 5.5. BR-005, BR-006, BR-006a, BR-015."
Epic,Audit Logging,Audit Logging,,Medium,plata;M2;development;security,"Immutable record of every auditable event. PRD 14. BR-016."
Epic,Notifications,Notifications,,Medium,plata;M2;development,"In-app notifications. PRD 11. BR-013."
Epic,Administration,Administration,,Medium,plata;M2;development;security,"Administrative operations. PRD 13. BR-014, BR-015."
Epic,Security Hardening,Security Hardening,,Medium,plata;M3;security,"Protections needed before the service is reachable from the internet. PRD 12. BR-017."
Epic,Observability API and Delivery,Observability API and Delivery,,Low,plata;M3;devops;observability,"Metrics, health, API documentation and deployment. PRD 16. ROADMAP Phase 5."
Task,FND-T1 Git repository and initial commit,,Engineering Foundation,Highest,plata;M0;devops;size-S;done,Done.
Task,FND-T2 CI pipeline running mvn verify on push and pull request,,Engineering Foundation,Highest,plata;M0;devops;size-S;done,Done.
Task,FND-T3 Architecture document and ADR-0004 package structure,,Engineering Foundation,Highest,plata;M0;architecture;size-M;done,Done.
Task,FND-T4 Logback JSON encoder configuration,,Engineering Foundation,Highest,plata;M0;observability;size-S,First half of structured logging. ROADMAP Phase 0.
Task,FND-T5 Correlation ID filter accepting X-Correlation-Id or generating one,,Engineering Foundation,Highest,plata;M0;observability;size-M,Depends on FND-T4. Debugging a failed transfer without a correlation ID is where println habits are born.
Task,FND-T6 Put the correlation ID in the MDC and in every log line,,Engineering Foundation,Highest,plata;M0;observability;size-S,Depends on FND-T5. Done when one request's lines can be filtered by a single ID.
Task,FND-T7 Return the correlation ID in the response header,,Engineering Foundation,High,plata;M0;observability;size-S,Depends on FND-T5. Lets a caller quote the ID when reporting a problem.
Task,FND-T8 Confirm no password token or hash reaches the logs,,Engineering Foundation,Highest,plata;M0;security;testing;size-S,Depends on FND-T6.
Task,FND-T9 docker-compose.yml with PostgreSQL for local development,,Engineering Foundation,High,plata;M0;devops;size-S,"The file is currently empty. Done when docker compose up -d then mvnw spring-boot:run works on a clean machine."
Task,FND-T10 Coding standards document,,Engineering Foundation,Medium,plata;M0;architecture;size-S,"One page. Naming, package layout, what belongs in which layer, commit message format."
Task,FND-T11 Pin the PostgreSQL image version in TestcontainersConfiguration,,Engineering Foundation,High,plata;M0;testing;size-S,Currently postgres:latest. A suite that breaks when the image moves is not a suite.
Task,FND-T12 Base integration test class with shared Testcontainers setup,,Engineering Foundation,High,plata;M0;testing;size-M,Depends on FND-T11. Every later integration test builds on this.
Task,FND-T13 ArchUnit rule no module touches another module's repository or entity,,Engineering Foundation,Medium,plata;M0;architecture;testing;size-S,Blocked until a second module exists. See ADR-0004 rule 3.
Task,FND-T14 ArchUnit rules no field injection and no cycles between modules,,Engineering Foundation,Medium,plata;M0;architecture;testing;size-S,Depends on FND-T13.
Story,AUTH-S1 Register with email and password,,Authentication and Customer Account,Highest,plata;M1;development;size-M;done,Done. BR-001.
Story,AUTH-S2 Log in and receive an access and refresh token,,Authentication and Customer Account,Highest,plata;M1;development;size-S,Depends on AUTH-T8. BR-002.
Story,AUTH-S3 Refresh my access token without logging in again,,Authentication and Customer Account,Highest,plata;M1;development;size-S,Depends on AUTH-T9.
Story,AUTH-S4 Log out invalidating my refresh token,,Authentication and Customer Account,High,plata;M1;development;size-S,Depends on AUTH-T10. PRD 3.3.
Story,AUTH-S5 Log out from every device,,Authentication and Customer Account,Medium,plata;M1;development;size-S,Depends on AUTH-T10. PRD 3.4.
Story,AUTH-S6 Change my password,,Authentication and Customer Account,High,plata;M1;development;size-S,Depends on AUTH-T14. PRD 3.4.
Story,AUTH-S7 View my profile and account creation date,,Authentication and Customer Account,Medium,plata;M1;development;size-S,Depends on AUTH-T12. PRD 4.
Story,AUTH-S8 Edit my first name last name and phone number,,Authentication and Customer Account,Medium,plata;M1;development;size-S,Depends on AUTH-S7. PRD 4.
Task,AUTH-T1 Add spring-boot-starter-security and a SecurityFilterChain,,Authentication and Customer Account,Highest,plata;M1;security;size-M,"The starter is not currently a dependency, so every endpoint is open right now. Adding it locks everything by default."
Task,AUTH-T2 Declare which paths are public and which require authentication,,Authentication and Customer Account,Highest,plata;M1;security;size-S,"Depends on AUTH-T1. Public: register, login, actuator health."
Task,AUTH-T3 JwtTokenService issuing signed access tokens,,Authentication and Customer Account,Highest,plata;M1;security;size-M,Depends on AUTH-T1. jjwt is already in pom.xml and jwt.secret is already in application.yml.
Task,AUTH-T4 JWT authentication filter populating the security context,,Authentication and Customer Account,Highest,plata;M1;security;size-M,Depends on AUTH-T3.
Task,AUTH-T5 Reject expired tampered and absent tokens with 401,,Authentication and Customer Account,Highest,plata;M1;security;testing;size-S,Depends on AUTH-T4.
Task,AUTH-T6 Token expiry read from configuration not a constant,,Authentication and Customer Account,High,plata;M1;security;size-S,Depends on AUTH-T3.
Task,AUTH-T7 refresh_tokens migration with hashed token expiry and revoked flag,,Authentication and Customer Account,Highest,plata;M1;security;size-S,"Store a hash of the token, never the token. A leaked database should not be a leaked session."
Task,AUTH-T8 RefreshToken entity and repository,,Authentication and Customer Account,Highest,plata;M1;development;size-S,Depends on AUTH-T7.
Task,AUTH-T9 Issue a refresh token and rotate it on every use,,Authentication and Customer Account,Highest,plata;M1;security;size-M,Depends on AUTH-T8. A reused token must be rejected.
Task,AUTH-T10 Revoke a refresh token individually and for a whole customer,,Authentication and Customer Account,High,plata;M1;security;size-M,Depends on AUTH-T9. BR-017 requires revocability.
Task,AUTH-T11 Map Role onto Spring authorities,,Authentication and Customer Account,High,plata;M1;security;size-S,Depends on AUTH-T4.
Task,AUTH-T12 CurrentCustomer resolver for the authenticated customer id,,Authentication and Customer Account,Highest,plata;M1;development;size-S,Depends on AUTH-T4. Everything that checks ownership needs this.
Task,AUTH-T13 Block authentication for suspended customers,,Authentication and Customer Account,High,plata;M1;security;size-S,Depends on AUTH-T4. BR-002.
Task,AUTH-T14 Password change verifying current password and revoking all refresh tokens,,Authentication and Customer Account,High,plata;M1;security;size-M,Depends on AUTH-T10.
Task,AUTH-T15 Profile endpoints and DTOs,,Authentication and Customer Account,Medium,plata;M1;development;size-S,Depends on AUTH-T12.
Task,AUTH-T16 Unit tests for CustomerService,,Authentication and Customer Account,High,plata;M1;testing;size-M,No tests exist for it today.
Task,AUTH-T17 Integration test duplicate email is rejected,,Authentication and Customer Account,High,plata;M1;testing;size-S,Depends on AUTH-T16. BR-001.
Task,AUTH-T18 Integration test unknown email and wrong password give identical errors,,Authentication and Customer Account,Highest,plata;M1;testing;security;size-S,Depends on AUTH-T16. BR-002. Otherwise the login form becomes an account enumeration tool.
Task,AUTH-T19 Integration test for the full login refresh and logout cycle,,Authentication and Customer Account,High,plata;M1;testing;size-M,Depends on AUTH-S4.
Task,MON-T1 Currency type,,Money,Highest,plata;M1;development;size-S,BR-004a. Version 1 has one platform currency but the type exists from the start.
Task,MON-T2 Money value object holding long minor units plus currency,,Money,Highest,plata;M1;development;architecture;size-S,"Depends on MON-T1. Never double, never a bare BigDecimal."
Task,MON-T3 Money arithmetic comparison and a hard failure on mixed currencies,,Money,Highest,plata;M1;development;size-S,Depends on MON-T2.
Task,MON-T4 JPA mapping for Money,,Money,Highest,plata;M1;development;size-S,Depends on MON-T2. Needed before any table stores an amount.
Task,MON-T5 JSON representation of Money for the API,,Money,High,plata;M1;development;size-S,Depends on MON-T2.
